id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight
AT0045,Black & Gold Resin Geode,"Elegante and luxurious piece beautifully reflective with large cluster of crystals in the middle area and crystals points. The artist edge flows as a continuation giving this piece an artistic feel.
",out of stock,new,264,https://anataborda.com/resin-artwork/black-and-gold-resin-geode,https://anataborda.com/assets/images/artwork/black-and-gold-resin-geode.jpeg,AnaTabordaArt,500044,1023,0,264,,,,,,,,,,
AT0046,Geode crystal agate,"A wonderful wall decor with a form of an Agate slice stone. This piece contain clear resin crystal clusters and mirror in the middle.
",in stock,new,290,https://anataborda.com/resin-artwork/geode-crystal-agate,https://anataborda.com/assets/images/artwork/geode-crystal-agate.jpeg,AnaTabordaArt,500044,1023,1,290,,,,,,,,,,
AT0047,Blue Agate Slice,"Unique and original resin agate slice, one of a kind geode artwork that will add a luxury statement to your home or office.
",out of stock,new,210,https://anataborda.com/resin-artwork/blue-agate-slice,https://anataborda.com/assets/images/artwork/blue-agate-slice.jpeg,AnaTabordaArt,500044,1023,0,210,,,,,,,,,,
AT0048,Blue Galaxy Geode,"One of a kind geode artwork that will add a luxury statement to your home or office.
",in stock,new,49,https://anataborda.com/resin-artwork/blue-galaxy-geode,https://anataborda.com/assets/images/artwork/blue-galaxy-geode.jpeg,AnaTabordaArt,500044,1023,1,49,,,,,,,,,,
AT0049,Gold Veins Geode,"One of a kind geode artwork that will add a luxury statement to your home or office.
",out of stock,new,49,https://anataborda.com/resin-artwork/gold-veins-geode,https://anataborda.com/assets/images/artwork/gold-veins-geode.jpeg,AnaTabordaArt,500044,1023,0,49,,,,,,,,,,
AT0050,green-river-resin-wall-art,"One of a kind geode artwork that will add a luxury statement to your home or office.
",in stock,new,89,https://anataborda.com/resin-artwork/green-river-resin-wall-art,https://anataborda.com/assets/images/artwork/green-river-resin-wall-art.jpeg,AnaTabordaArt,500044,1023,1,89,,,,,,,,,,
AT0051,Green Sparkle Geode,"One of a kind geode artwork that will add a luxury statement to your home or office.
",in stock,new,89,https://anataborda.com/resin-artwork/green-sparkle-geode,https://anataborda.com/assets/images/artwork/green-sparkle-geode.jpeg,AnaTabordaArt,500044,1023,1,89,,,,,,,,,,
AT0052,pink-river-resin-artwork,"Unique and luxurious piece, this beautiful design is combined with some clear epoxy crystals and different with texture s made of glass and acrylic.
",out of stock,new,89,https://anataborda.com/resin-artwork/pink-river-resin-artwork,https://anataborda.com/assets/images/artwork/pink-river-resin-artwork.jpeg,AnaTabordaArt,500044,1023,0,89,,,,,,,,,,
AT0053,Pink Celestial,"Unique and luxurious piece, this beautiful design is combined with some clear epoxy crystals and different with texture s made of glass and acrylic.
",in stock,new,49,https://anataborda.com/resin-artwork/pink-celestial,https://anataborda.com/assets/images/artwork/pink-celestial.jpeg,AnaTabordaArt,500044,1023,1,49,,,,,,,,,,
AT0054,Space Dark Geode,"Unique and luxurious piece, this beautiful design is combined with mirror, some clear epoxy crystals and different textures made of glass and acrylic.
",in stock,new,450,https://anataborda.com/resin-artwork/space-dark-geode,https://anataborda.com/assets/images/artwork/space-dark-geode.jpeg,AnaTabordaArt,500044,1023,1,450,,,,,,,,,,
AT0055,Sparkly Mint Fluorite Geode,"This artwork is not available, but I can do a similar design. Unique and luxurious piece, this beautiful design is combined with real mirror integrated on artwork, clear epoxy crystals and different textures made of glass and acrylic.
",out of stock,new,270,https://anataborda.com/resin-artwork/sparkly-mint-fluorite-geode,https://anataborda.com/assets/images/artwork/sparkly-mint-fluorite-geode.jpeg,AnaTabordaArt,500044,1023,0,270,,,,,,,,,,
